,año,mes,cod_depto,cod_muni,destino,area,Time
0,2005,01,13,1,1,910,2005-01-28
1,2005,01,13,1,5,60,2005-01-28
2,2005,01,13,1,6,496,2005-01-28
3,2005,01,13,1,7,169,2005-01-28
4,2005,01,13,1,11,304,2005-01-28
5,2005,2,13,1,1,833,2005-2-28
6,2005,2,13,1,4,11298,2005-2-28
7,2005,2,13,1,5,72,2005-2-28
8,2005,2,13,1,6,776,2005-2-28
9,2005,2,13,1,7,1896,2005-2-28
10,2005,3,13,1,1,1786,2005-3-28
11,2005,3,13,1,4,2026,2005-3-28
12,2005,3,13,1,5,1124,2005-3-28
13,2005,3,13,1,6,9269,2005-3-28
14,2005,3,13,1,7,356,2005-3-28
15,2005,3,13,1,10,250,2005-3-28
16,2005,4,13,1,1,21052,2005-4-28
17,2005,4,13,1,4,5174,2005-4-28
18,2005,4,13,1,5,6668,2005-4-28
19,2005,4,13,1,8,1639,2005-4-28
20,2005,5,13,1,1,4008,2005-5-28
21,2005,5,13,1,3,194,2005-5-28
22,2005,5,13,1,4,242,2005-5-28
23,2005,5,13,1,5,105,2005-5-28
24,2005,6,13,1,1,41471,2005-6-28
25,2005,6,13,1,2,99,2005-6-28
26,2005,6,13,1,3,94,2005-6-28
27,2005,6,13,1,4,1762,2005-6-28
28,2005,6,13,1,5,1767,2005-6-28
29,2005,6,13,1,6,1043,2005-6-28
30,2005,6,13,1,7,4396,2005-6-28
31,2005,6,13,1,11,4060,2005-6-28
32,2005,7,13,1,1,6154,2005-7-28
33,2005,7,13,1,2,453,2005-7-28
34,2005,7,13,1,4,1734,2005-7-28
35,2005,7,13,1,5,5042,2005-7-28
36,2005,8,13,1,1,2273,2005-8-28
37,2005,8,13,1,3,11653,2005-8-28
38,2005,8,13,1,4,1261,2005-8-28
39,2005,8,13,1,5,1254,2005-8-28
40,2005,9,13,1,1,7006,2005-9-28
41,2005,9,13,1,2,876,2005-9-28
42,2005,9,13,1,4,1777,2005-9-28
43,2005,9,13,1,5,1755,2005-9-28
44,2005,9,13,1,7,4900,2005-9-28
45,2005,9,13,1,10,257,2005-9-28
46,2005,10,13,1,1,12725,2005-10-28
47,2005,10,13,1,5,21241,2005-10-28
48,2005,10,13,1,6,3511,2005-10-28
49,2005,10,13,1,10,267,2005-10-28
50,2005,11,13,1,1,22358,2005-11-28
51,2005,11,13,1,2,852,2005-11-28
52,2005,11,13,1,5,2086,2005-11-28
53,2005,11,13,1,7,10322,2005-11-28
54,2005,11,13,1,8,659,2005-11-28
55,2005,11,13,1,10,504,2005-11-28
56,2005,12,13,1,1,8838,2005-12-28
57,2005,12,13,1,4,774,2005-12-28
58,2005,12,13,1,5,503,2005-12-28
59,2005,12,13,1,8,548,2005-12-28
60,2006,01,13,1,1,28288,2006-01-28
61,2006,01,13,1,5,573,2006-01-28
62,2006,01,13,1,7,9110,2006-01-28
63,2006,2,13,1,1,30295,2006-2-28
64,2006,2,13,1,4,701,2006-2-28
65,2006,2,13,1,5,13597,2006-2-28
66,2006,2,13,1,6,1870,2006-2-28
67,2006,2,13,1,9,1131,2006-2-28
68,2006,2,13,1,10,269,2006-2-28
69,2006,3,13,1,1,26901,2006-3-28
70,2006,3,13,1,4,1107,2006-3-28
71,2006,3,13,1,5,5223,2006-3-28
72,2006,3,13,1,8,1804,2006-3-28
73,2006,4,13,1,1,1102,2006-4-28
74,2006,4,13,1,3,367,2006-4-28
75,2006,4,13,1,5,1182,2006-4-28
76,2006,4,13,1,6,3400,2006-4-28
77,2006,5,13,1,1,4286,2006-5-28
